profile_path,repository,old_name,new_name,status,derivation,collision
anthropics-claude-plugins-official/anthropics-claude-plugins-official-agent-sdk-dev,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/agent-sdk-dev,anthropics-claude-plugins-official-agent-sdk-dev,anthropics_claude-plugins-official_agent-sdk-dev,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-claude-code-setup,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/claude-code-setup,anthropics-claude-plugins-official-claude-code-setup,anthropics_claude-plugins-official_claude-code-setup,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-claude-md-management,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/claude-md-management,anthropics-claude-plugins-official-claude-md-management,anthropics_claude-plugins-official_claude-md-management,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-code-review,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/code-review,anthropics-claude-plugins-official-code-review,anthropics_claude-plugins-official_code-review,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-code-simplifier,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/code-simplifier,anthropics-claude-plugins-official-code-simplifier,anthropics_claude-plugins-official_code-simplifier,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-commit-commands,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/commit-commands,anthropics-claude-plugins-official-commit-commands,anthropics_claude-plugins-official_commit-commands,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-example-plugin,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/example-plugin,anthropics-claude-plugins-official-example-plugin,anthropics_claude-plugins-official_example-plugin,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-feature-dev,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/feature-dev,anthropics-claude-plugins-official-feature-dev,anthropics_claude-plugins-official_feature-dev,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-frontend-design,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/frontend-design,anthropics-claude-plugins-official-frontend-design,anthropics_claude-plugins-official_frontend-design,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-math-olympiad,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/math-olympiad,anthropics-claude-plugins-official-math-olympiad,anthropics_claude-plugins-official_math-olympiad,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-mcp-server-dev,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/mcp-server-dev,anthropics-claude-plugins-official-mcp-server-dev,anthropics_claude-plugins-official_mcp-server-dev,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-playground,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/playground,anthropics-claude-plugins-official-playground,anthropics_claude-plugins-official_playground,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-plugin-dev,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/plugin-dev,anthropics-claude-plugins-official-plugin-dev,anthropics_claude-plugins-official_plugin-dev,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-pr-review-toolkit,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/pr-review-toolkit,anthropics-claude-plugins-official-pr-review-toolkit,anthropics_claude-plugins-official_pr-review-toolkit,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-session-report,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/session-report,anthropics-claude-plugins-official-session-report,anthropics_claude-plugins-official_session-report,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-claude-plugins-official/anthropics-claude-plugins-official-skill-creator,https://github.com/anthropics/claude-plugins-official/tree/main/plugins/skill-creator,anthropics-claude-plugins-official-skill-creator,anthropics_claude-plugins-official_skill-creator,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-algorithmic-art,https://github.com/anthropics/skills,anthropics-skills-algorithmic-art,anthropics_skills_algorithmic-art,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-brand-guidelines,https://github.com/anthropics/skills,anthropics-skills-brand-guidelines,anthropics_skills_brand-guidelines,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-canvas-design,https://github.com/anthropics/skills,anthropics-skills-canvas-design,anthropics_skills_canvas-design,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-claude-api,https://github.com/anthropics/skills,anthropics-skills-claude-api,anthropics_skills_claude-api,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-doc-coauthoring,https://github.com/anthropics/skills,anthropics-skills-doc-coauthoring,anthropics_skills_doc-coauthoring,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-docx,https://github.com/anthropics/skills,anthropics-skills-docx,anthropics_skills_docx,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-frontend-design,https://github.com/anthropics/skills,anthropics-skills-frontend-design,anthropics_skills_frontend-design,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-internal-comms,https://github.com/anthropics/skills,anthropics-skills-internal-comms,anthropics_skills_internal-comms,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-mcp-builder,https://github.com/anthropics/skills,anthropics-skills-mcp-builder,anthropics_skills_mcp-builder,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-pdf,https://github.com/anthropics/skills,anthropics-skills-pdf,anthropics_skills_pdf,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-pptx,https://github.com/anthropics/skills,anthropics-skills-pptx,anthropics_skills_pptx,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-skill-creator,https://github.com/anthropics/skills,anthropics-skills-skill-creator,anthropics_skills_skill-creator,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-slack-gif-creator,https://github.com/anthropics/skills,anthropics-skills-slack-gif-creator,anthropics_skills_slack-gif-creator,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-theme-factory,https://github.com/anthropics/skills,anthropics-skills-theme-factory,anthropics_skills_theme-factory,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-web-artifacts-builder,https://github.com/anthropics/skills,anthropics-skills-web-artifacts-builder,anthropics_skills_web-artifacts-builder,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-webapp-testing,https://github.com/anthropics/skills,anthropics-skills-webapp-testing,anthropics_skills_webapp-testing,rename-needed,strip-owner-repo-hyphen-prefix,no
anthropics-skills/anthropics-skills-xlsx,https://github.com/anthropics/skills,anthropics-skills-xlsx,anthropics_skills_xlsx,rename-needed,strip-owner-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-business-product,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-business-product,voltagent_awesome-codex-subagents_business-product,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-core-development,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-core-development,voltagent_awesome-codex-subagents_core-development,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-data-ai,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-data-ai,voltagent_awesome-codex-subagents_data-ai,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-developer-experience,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-developer-experience,voltagent_awesome-codex-subagents_developer-experience,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-infrastructure,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-infrastructure,voltagent_awesome-codex-subagents_infrastructure,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-language-specialists,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-language-specialists,voltagent_awesome-codex-subagents_language-specialists,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-meta-orchestration,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-meta-orchestration,voltagent_awesome-codex-subagents_meta-orchestration,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-quality-security,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-quality-security,voltagent_awesome-codex-subagents_quality-security,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-research-analysis,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-research-analysis,voltagent_awesome-codex-subagents_research-analysis,rename-needed,strip-repo-hyphen-prefix,no
awesome-codex-subagents/awesome-codex-subagents-specialized-domains,https://github.com/VoltAgent/awesome-codex-subagents,awesome-codex-subagents-specialized-domains,voltagent_awesome-codex-subagents_specialized-domains,rename-needed,strip-repo-hyphen-prefix,no
azure-skills/azure-skills-appinsights-instrumentation,https://github.com/microsoft/azure-skills,azure-skills-appinsights-instrumentation,microsoft-azure_skills-appinsights-instrumentation,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-ai,https://github.com/microsoft/azure-skills,azure-skills-azure-ai,microsoft-azure_skills-azure-ai,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-aigateway,https://github.com/microsoft/azure-skills,azure-skills-azure-aigateway,microsoft-azure_skills-azure-aigateway,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-compliance,https://github.com/microsoft/azure-skills,azure-skills-azure-compliance,microsoft-azure_skills-azure-compliance,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-cost-optimization,https://github.com/microsoft/azure-skills,azure-skills-azure-cost-optimization,microsoft-azure_skills-azure-cost-optimization,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-deploy,https://github.com/microsoft/azure-skills,azure-skills-azure-deploy,microsoft-azure_skills-azure-deploy,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-diagnostics,https://github.com/microsoft/azure-skills,azure-skills-azure-diagnostics,microsoft-azure_skills-azure-diagnostics,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-hosted-copilot-sdk,https://github.com/microsoft/azure-skills,azure-skills-azure-hosted-copilot-sdk,microsoft-azure_skills-azure-hosted-copilot-sdk,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-kusto,https://github.com/microsoft/azure-skills,azure-skills-azure-kusto,microsoft-azure_skills-azure-kusto,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-messaging,https://github.com/microsoft/azure-skills,azure-skills-azure-messaging,microsoft-azure_skills-azure-messaging,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-observability,https://github.com/microsoft/azure-skills,azure-skills-azure-observability,microsoft-azure_skills-azure-observability,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-prepare,https://github.com/microsoft/azure-skills,azure-skills-azure-prepare,microsoft-azure_skills-azure-prepare,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-rbac,https://github.com/microsoft/azure-skills,azure-skills-azure-rbac,microsoft-azure_skills-azure-rbac,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-resource-lookup,https://github.com/microsoft/azure-skills,azure-skills-azure-resource-lookup,microsoft-azure_skills-azure-resource-lookup,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-resource-visualizer,https://github.com/microsoft/azure-skills,azure-skills-azure-resource-visualizer,microsoft-azure_skills-azure-resource-visualizer,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-storage,https://github.com/microsoft/azure-skills,azure-skills-azure-storage,microsoft-azure_skills-azure-storage,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-azure-validate,https://github.com/microsoft/azure-skills,azure-skills-azure-validate,microsoft-azure_skills-azure-validate,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-entra-app-registration,https://github.com/microsoft/azure-skills,azure-skills-entra-app-registration,microsoft-azure_skills-entra-app-registration,rename-needed,fallback-old-name-as-profile-segment,no
azure-skills/azure-skills-microsoft-foundry,https://github.com/microsoft/azure-skills,azure-skills-microsoft-foundry,microsoft-azure_skills-microsoft-foundry,rename-needed,fallback-old-name-as-profile-segment,no
compound-engineering,https://github.com/EveryInc/compound-engineering-plugin,compound-engineering,everyinc_compound-engineering-plugin,rename-needed,fallback-old-name-as-profile-segment,no
context7,https://github.com/upstash/context7,context7,upstash_context7,rename-needed,repo-name-only,no
cursor-plugins/cursor-plugins-cursor-team-kit,https://github.com/cursor/plugins,cursor-plugins-cursor-team-kit,cursor_plugins_cursor-team-kit,rename-needed,strip-owner-repo-hyphen-prefix,no
garrytan-gstack,https://github.com/garrytan/gstack,gstack,garrytan_gstack,rename-needed,repo-name-only,no
gemini-skills/gemini-skills-gemini-api-dev,https://github.com/google-gemini/gemini-skills,gemini-skills-gemini-api-dev,google-gemini_gemini-skills_gemini-api-dev,rename-needed,strip-repo-hyphen-prefix,no
gemini-skills/gemini-skills-gemini-interactions-api,https://github.com/google-gemini/gemini-skills,gemini-skills-gemini-interactions-api,google-gemini_gemini-skills_gemini-interactions-api,rename-needed,strip-repo-hyphen-prefix,no
gemini-skills/gemini-skills-gemini-live-api-dev,https://github.com/google-gemini/gemini-skills,gemini-skills-gemini-live-api-dev,google-gemini_gemini-skills_gemini-live-api-dev,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-bio-research,https://github.com/anthropics/knowledge-work-plugins/tree/main/bio-research,knowledge-work-plugins-bio-research,anthropics_knowledge-work-plugins_bio-research,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-customer-support,https://github.com/anthropics/knowledge-work-plugins/tree/main/customer-support,knowledge-work-plugins-customer-support,anthropics_knowledge-work-plugins_customer-support,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-data,https://github.com/anthropics/knowledge-work-plugins/tree/main/data,knowledge-work-plugins-data,anthropics_knowledge-work-plugins_data,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-design,https://github.com/anthropics/knowledge-work-plugins/tree/main/design,knowledge-work-plugins-design,anthropics_knowledge-work-plugins_design,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-engineering,https://github.com/anthropics/knowledge-work-plugins/tree/main/engineering,knowledge-work-plugins-engineering,anthropics_knowledge-work-plugins_engineering,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-enterprise-search,https://github.com/anthropics/knowledge-work-plugins/tree/main/enterprise-search,knowledge-work-plugins-enterprise-search,anthropics_knowledge-work-plugins_enterprise-search,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-finance,https://github.com/anthropics/knowledge-work-plugins/tree/main/finance,knowledge-work-plugins-finance,anthropics_knowledge-work-plugins_finance,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-human-resources,https://github.com/anthropics/knowledge-work-plugins/tree/main/human-resources,knowledge-work-plugins-human-resources,anthropics_knowledge-work-plugins_human-resources,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-legal,https://github.com/anthropics/knowledge-work-plugins/tree/main/legal,knowledge-work-plugins-legal,anthropics_knowledge-work-plugins_legal,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-marketing,https://github.com/anthropics/knowledge-work-plugins/tree/main/marketing,knowledge-work-plugins-marketing,anthropics_knowledge-work-plugins_marketing,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-operations,https://github.com/anthropics/knowledge-work-plugins/tree/main/operations,knowledge-work-plugins-operations,anthropics_knowledge-work-plugins_operations,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-product-management,https://github.com/anthropics/knowledge-work-plugins/tree/main/product-management,knowledge-work-plugins-product-management,anthropics_knowledge-work-plugins_product-management,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-productivity,https://github.com/anthropics/knowledge-work-plugins/tree/main/productivity,knowledge-work-plugins-productivity,anthropics_knowledge-work-plugins_productivity,rename-needed,strip-repo-hyphen-prefix,no
knowledge-work-plugins/knowledge-work-plugins-sales,https://github.com/anthropics/knowledge-work-plugins/tree/main/sales,knowledge-work-plugins-sales,anthropics_knowledge-work-plugins_sales,rename-needed,strip-repo-hyphen-prefix,no
openai-skills/openai-skills-aspnet-core,https://github.com/openai/skills,openai-skills-aspnet-core,openai_skills_aspnet-core,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-chatgpt-apps,https://github.com/openai/skills,openai-skills-chatgpt-apps,openai_skills_chatgpt-apps,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-cloudflare-deploy,https://github.com/openai/skills,openai-skills-cloudflare-deploy,openai_skills_cloudflare-deploy,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-develop-web-game,https://github.com/openai/skills,openai-skills-develop-web-game,openai_skills_develop-web-game,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-doc,https://github.com/openai/skills,openai-skills-doc,openai_skills_doc,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma,https://github.com/openai/skills,openai-skills-figma,openai_skills_figma,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-code-connect-components,https://github.com/openai/skills,openai-skills-figma-code-connect-components,openai_skills_figma-code-connect-components,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-create-design-system-rules,https://github.com/openai/skills,openai-skills-figma-create-design-system-rules,openai_skills_figma-create-design-system-rules,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-create-new-file,https://github.com/openai/skills,openai-skills-figma-create-new-file,openai_skills_figma-create-new-file,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-generate-design,https://github.com/openai/skills,openai-skills-figma-generate-design,openai_skills_figma-generate-design,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-generate-library,https://github.com/openai/skills,openai-skills-figma-generate-library,openai_skills_figma-generate-library,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-implement-design,https://github.com/openai/skills,openai-skills-figma-implement-design,openai_skills_figma-implement-design,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-figma-use,https://github.com/openai/skills,openai-skills-figma-use,openai_skills_figma-use,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-frontend-skill,https://github.com/openai/skills,openai-skills-frontend-skill,openai_skills_frontend-skill,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-gh-address-comments,https://github.com/openai/skills,openai-skills-gh-address-comments,openai_skills_gh-address-comments,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-gh-fix-ci,https://github.com/openai/skills,openai-skills-gh-fix-ci,openai_skills_gh-fix-ci,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-imagegen,https://github.com/openai/skills,openai-skills-imagegen,openai_skills_imagegen,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-jupyter-notebook,https://github.com/openai/skills,openai-skills-jupyter-notebook,openai_skills_jupyter-notebook,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-linear,https://github.com/openai/skills,openai-skills-linear,openai_skills_linear,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-netlify-deploy,https://github.com/openai/skills,openai-skills-netlify-deploy,openai_skills_netlify-deploy,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-notion-knowledge-capture,https://github.com/openai/skills,openai-skills-notion-knowledge-capture,openai_skills_notion-knowledge-capture,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-notion-meeting-intelligence,https://github.com/openai/skills,openai-skills-notion-meeting-intelligence,openai_skills_notion-meeting-intelligence,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-notion-research-documentation,https://github.com/openai/skills,openai-skills-notion-research-documentation,openai_skills_notion-research-documentation,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-notion-spec-to-implementation,https://github.com/openai/skills,openai-skills-notion-spec-to-implementation,openai_skills_notion-spec-to-implementation,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-openai-docs,https://github.com/openai/skills,openai-skills-openai-docs,openai_skills_openai-docs,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-pdf,https://github.com/openai/skills,openai-skills-pdf,openai_skills_pdf,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-playwright,https://github.com/openai/skills,openai-skills-playwright,openai_skills_playwright,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-playwright-interactive,https://github.com/openai/skills,openai-skills-playwright-interactive,openai_skills_playwright-interactive,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-render-deploy,https://github.com/openai/skills,openai-skills-render-deploy,openai_skills_render-deploy,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-screenshot,https://github.com/openai/skills,openai-skills-screenshot,openai_skills_screenshot,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-security-best-practices,https://github.com/openai/skills,openai-skills-security-best-practices,openai_skills_security-best-practices,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-security-ownership-map,https://github.com/openai/skills,openai-skills-security-ownership-map,openai_skills_security-ownership-map,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-security-threat-model,https://github.com/openai/skills,openai-skills-security-threat-model,openai_skills_security-threat-model,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-sentry,https://github.com/openai/skills,openai-skills-sentry,openai_skills_sentry,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-slides,https://github.com/openai/skills,openai-skills-slides,openai_skills_slides,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-sora,https://github.com/openai/skills,openai-skills-sora,openai_skills_sora,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-speech,https://github.com/openai/skills,openai-skills-speech,openai_skills_speech,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-spreadsheet,https://github.com/openai/skills,openai-skills-spreadsheet,openai_skills_spreadsheet,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-system-openai-docs,https://github.com/openai/skills,openai-skills-system-openai-docs,openai_skills_system-openai-docs,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-system-skill-creator,https://github.com/openai/skills,openai-skills-system-skill-creator,openai_skills_system-skill-creator,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-system-skill-installer,https://github.com/openai/skills,openai-skills-system-skill-installer,openai_skills_system-skill-installer,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-transcribe,https://github.com/openai/skills,openai-skills-transcribe,openai_skills_transcribe,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-vercel-deploy,https://github.com/openai/skills,openai-skills-vercel-deploy,openai_skills_vercel-deploy,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-winui-app,https://github.com/openai/skills,openai-skills-winui-app,openai_skills_winui-app,rename-needed,strip-owner-repo-hyphen-prefix,no
openai-skills/openai-skills-yeet,https://github.com/openai/skills,openai-skills-yeet,openai_skills_yeet,rename-needed,strip-owner-repo-hyphen-prefix,no
tldraw,https://github.com/tldraw/tldraw,tldraw,tldraw_tldraw,rename-needed,repo-name-only,no
